sample,NbO,NbO2,Nb2O5,Nb,202_amp,207_amp
ResA-015,8198.795644565049,24723.26988717244,417134.13721658656,57814.92660124788,39135.42669737812,310283.53663692897
ResA-015,8104.013796916832,25325.624663286027,415699.1150497569,57146.67080899849,38787.740445470554,307930.58328288444
ResA-015,8164.736717442001,25276.618467684475,412306.8022256493,57471.42414254169,38652.422014302894,305593.0280264395
ResA-015,8635.908075926845,25064.572570288045,409002.4177040152,57103.04114411202,39327.24094301717,305913.9733746876
ResA-015,8405.069658046215,25567.48639642725,408731.47728359874,56384.37842032717,37626.03253054462,302539.53735836677
ResA-015,8734.78884871881,26095.097251821466,413973.4467454453,57745.54338289384,38485.413035268575,306819.0408563477
ResA-015,8731.392705907392,26086.74905196784,417751.3494396967,58655.19851497636,39531.74935876913,308857.4518174529
ResA-015,8573.902735398153,26838.76437015176,410699.07534230896,57012.81608443798,39899.35993011028,307028.1913964602
ResA-015,9131.70440741684,26923.454976790494,409399.7499707036,58342.511475725776,39020.07288093267,305828.267532727
ResA-015,8879.002221851008,28123.487549991387,406971.95454919623,58533.55510674229,38983.22615400282,302819.53799397754
ResA-016,9061.693717393737,25639.564670831838,412855.63954358787,57568.660385799994,39563.220516437104,303800.53768586606
ResA-016,8719.737206064337,25593.933833945037,404738.7357084481,54967.69163847115,37636.76553060464,298499.4997290832
ResA-016,8435.326535216615,26614.358266285886,402720.2307507394,55034.27616068368,37968.97813880722,296601.8280953395
ResA-016,8789.325190217134,26018.649127823588,407932.2581125999,55884.665172522,37723.27071546498,299884.6089842326
ResA-016,8679.744925077504,26763.775953564385,409492.771681525,56817.67706990914,38198.624257823576,302134.013138063
ResA-016,8888.578258370306,27912.12001440613,402418.8475267404,55816.92830766261,37814.88327565696,298544.29213960574
ResA-016,8967.425763006797,26787.78758580247,400683.46927995933,55766.545586730106,38027.63472433377,293449.50271779374
ResA-016,8748.984706374862,27650.349741670245,412431.74906102073,57262.25166534593,39133.84697582577,304943.3513300441
ResA-016,9819.700127366992,27928.890203254843,411222.9097049736,58688.73109526384,40257.250272244266,301539.8317901493
ResA-016,9038.435802743994,29811.897836129476,409705.89749230235,57815.25212672334,39430.616559759044,300864.0034662132
ResA-017,8796.959042156604,24440.095268307705,423987.33245971764,57045.28960912558,40398.24812699325,312333.02002220147
ResA-017,8977.282295596911,24662.9108895946,428640.3695985946,58974.28720820053,39624.63138843526,315096.79915199534
ResA-017,9058.1985888738,28648.689872456944,424686.1550907022,59207.59015515476,41213.276046433544,312884.46450657933
ResA-017,9083.496161965688,28699.214573990605,425339.1208787727,59522.512289308936,41988.31699440196,311896.94009707996
ResA-017,9371.972504113035,29064.90586546129,426166.8065237934,60608.82614656815,41577.21811627709,311809.6659679714
ResA-017,9357.245787044998,28982.96883507845,425499.26267689606,60717.93465403596,41374.187671203246,312202.65742331755
ResA-017,9687.0245592795,28303.36119630239,425545.17854144325,59761.39218235366,40143.04617711569,315689.4465346091
ResA-017,8948.059440128109,25136.928802793613,433695.46235608234,59170.89200483172,40202.98696805247,316694.95951849164
ResA-017,9141.485445729459,25637.89964576957,431756.9675951638,59559.23078490022,40453.41032503895,319489.3959293487
ResA-017,8899.259393513326,26542.69303759005,428950.55020926497,57814.620381617664,39318.07009376697,318886.56836433127
Res-025,5907.469845134461,17071.0400102525,393533.68743054505,40588.36982856084,29395.1756316118,285453.2137447047
Res-025,5836.991080088172,18234.22335367475,387298.6498728098,41945.718143681646,28413.729280241176,283462.17287129
Res-025,6243.161103258732,18292.07476550243,401499.37921206414,41334.801529187,28525.416937201655,291307.29846099875
Res-025,6213.245678843294,18437.928561487737,404836.882566445,41516.359997472166,29694.45443627055,299059.93380809226
Res-025,5811.195288751847,17672.81460723913,409693.3395727131,41261.31562182944,28564.18491905744,300493.6565187125
Res-025,6892.832077609601,18959.53748159984,398645.8565503465,42874.376523913685,30368.995034932996,292827.20275412424
Res-025,6129.097511908821,16364.169854010679,343845.2859919605,37537.78774882977,26300.54787682352,251118.19388177205
Res-025,4963.99292609917,15968.538381538889,346559.9696924809,35527.20683045407,24892.439554593704,250771.92134649146
Res-025,6546.081251335157,18376.436307032673,393395.63261998777,42877.45054739056,30616.822458054794,286801.699364257
Res-025,6329.325449028201,19185.34434713903,404068.37900206883,44247.86225224297,30849.734743126864,296045.76886222855
Res-025,2157.987194273403,8459.374644886886,127617.00461264624,12145.921777317326,8753.38630304375,91461.774997849
Res-025,6556.445110050824,19033.073329510764,426063.76976859814,42569.58492631524,29737.83425244587,308596.9805684468
Res-025,6276.60809437991,18153.22064185887,421407.99648415437,42766.841060475905,29451.20972173679,303031.86795526533
Res-025,6450.101829202915,18728.252615896057,423558.9581107491,42919.106155577814,30044.014313383334,308490.53703607793
Res-025,6441.22606546782,19067.518126414383,427183.3660033547,42800.32501775888,29870.875307012386,309664.98444996245
Res-025,7821.625165993495,17378.262410050473,414497.05465673225,42496.61200712851,29013.328948486884,302266.2344787445
Res-025,5737.946500661284,18058.497641137983,377089.90071253944,39452.98444685774,27898.629302052617,270859.25194313383
Res-025,6709.15790274007,17275.52838515223,396913.01624683983,43955.259268071975,30524.94434455127,288966.1831300961
Res-025,7505.767461946089,19488.489012953192,408222.77929881465,43990.135727303146,31004.67209431527,300975.2587336789
Res-025,6684.129722156485,17188.039481863536,354937.3031958275,38322.54179788663,26247.495564274825,255171.33098024596
Res-025,7544.442632123616,20624.67002528212,412000.0460587414,45638.89415500677,31423.240602861337,299827.54891651316
Res-026,11303.590224109872,23653.16379782101,408727.673351017,45571.6963776237,34936.61535881909,299756.46422634285
Res-026,10479.292126663875,22905.299760345166,408526.3678764162,44475.092067905454,35462.45942815168,299726.2219583195
Res-026,12137.151657320988,23076.34663606395,412522.93843369203,41598.07677060978,34302.79499378054,300734.70643547416
Res-026,9145.72801147262,20836.136438329155,411650.46192173596,45241.46625552839,34914.83806395614,296010.137587791
Res-026,11371.329287912513,18607.22910712598,409590.39039301313,41695.945353323325,33604.13289157043,293116.9381871258
Res-026,10157.629415807889,21765.73978618368,415397.10119742336,45943.77558330809,34706.06966658833,299472.6100788229
Res-026,11882.862117285065,23252.307128518445,408082.77830492734,43121.12403518253,33957.3587594385,295807.3941148775
Res-026,12404.233334317727,24194.65842334878,409826.517780717,42678.53096159846,34497.69823050809,297147.6507843152
Res-026,13718.478315383198,26541.238653587927,405163.47589522885,39841.36616922262,36061.8668065284,298959.8371665265
Res-026,13788.342005272014,25668.45180723698,406562.6603246414,40321.862437163734,34598.69285100041,297279.2464062108
Res-026,5020.741456140953,9796.270166506638,75020.2848893039,1421.4728272093912,6506.288925714729,57404.07217788979
Res-026,15523.10688773817,26828.48720947373,428552.8959197321,40443.32486217606,35752.85463061943,311654.7787682164
Res-026,14133.979031827337,25975.16965180402,427432.24020176166,43720.70957883445,37269.53246728217,311980.3832058185
Res-026,14614.469236728934,24312.03979885721,428075.424755413,42991.627611457254,36075.03753061227,308307.69675427396
Res-026,13128.911202142657,23201.640692749326,425201.9981881378,42682.09391815825,36042.814586207714,306998.30533468124
Res-026,13074.422212877578,21539.17843944475,417828.04799856077,39817.87609789789,35043.42251761456,304522.1321706655
Res-026,13263.380864270146,22219.700409054076,424918.4104625459,42599.24219728428,37234.57281003744,306541.8753573677
Res-026,13758.532697416558,23209.07646330417,422860.55664671253,42782.6299333961,35337.29793274531,304454.1734435149
Res-026,14794.46407776086,27309.1206958731,419948.6417162213,40613.335096501,36402.95147825788,306952.80654282426
Res-026,13112.675292081822,24822.925996592636,419976.125430645,43872.66604779172,36676.1841824085,304541.15437289956
Res-026,12747.360007947516,23395.375916890338,414306.72245456045,43774.84339582238,35461.420313087176,301070.6488379256
Res-027,8006.994143050505,21122.044159049834,424553.6066105027,50561.14196287709,36374.88336529978,309085.16707151383
Res-027,7201.082307117801,20234.767796056818,424441.73624563596,48899.8713473715,36657.87196913404,309875.72271075245
Res-027,8227.915678060694,19258.817076928113,427962.96714048996,48202.21260676272,35444.97428271285,311325.05340188893
Res-027,7852.847123512863,19829.212912381157,424490.4045872949,49484.20235781015,35482.50039362878,310514.07454722124
Res-027,7220.810550934154,19531.105611703126,422696.70843143924,47969.117170340025,34346.47478276763,304577.46730227495
Res-027,7602.5524046174905,19615.951808438225,422716.62368803367,48992.99015669267,35275.60575105583,308062.38548619737
Res-027,8099.105129333318,19892.88977066739,419126.4331766481,49487.309582225134,35163.83530523708,306678.82453792245
Res-027,7707.278220248081,20624.52978235374,426724.0399433314,50361.9329442917,35790.65138341448,311300.10157972353
Res-027,8504.775426187995,20417.25849827314,428043.503555442,51682.959696697784,36094.719982925475,310454.8465985767
Res-027,7577.506899947295,21030.204606531377,422638.11382891703,50821.41902815807,37723.267641813145,309492.92935652717
Res-027,1890.8088610380958,5718.331139326072,63816.65642119671,5783.145122095212,5030.3206251763695,43910.701465128455
Res-027,8739.432586557516,20692.45737340575,441141.57463782444,51882.556264102874,37132.806768887225,317903.99962232955
Res-027,7878.157880891745,21209.70247160292,438065.5831106517,50834.747631412494,36938.02480508896,319743.0001848852
Res-027,8083.6647495252655,21994.003972569677,439497.98937959026,51510.15588464869,36596.111271963644,319386.8098991208
Res-027,7943.642494900871,20603.541783070777,437871.19046815427,50251.51253809368,35953.679657126544,317735.2102452336
Res-027,7393.286520773756,19402.173640326037,430512.0979686838,48281.590333863474,35794.47992968116,314690.54630685784
Res-027,7559.78542321678,20754.787194987577,432655.48924769857,50076.06275433174,35931.8944585627,314375.715412891
Res-027,7763.442678054844,20447.284239777375,433041.8304997474,50604.22435430645,36295.94524784632,314279.9049594973
Res-027,8361.107736720718,21197.50916779184,434971.44930384646,52290.56802474874,37531.872685983195,317612.8399778617
Res-027,7811.65325597355,21345.89436575407,431382.9419694465,51722.69301778831,37384.4110535365,314500.354372534
Res-027,8042.699660759656,21015.1873625275,428458.29061568587,51194.1057202836,36585.72091239478,313074.8414968486
ResA_008,79.34769685746801,147.17626412030782,5859.8870788645345,558.0673395150226,389.9443464239775,3736.17720294101
ResA_008,72.31962328990704,147.99866232539927,5718.639457109042,541.1990195536287,356.85129467213943,3631.9559851678364
ResA_008,80.76686314195669,138.1744360040571,5557.406921862796,544.1190483457259,360.8851836665004,3543.5894462735837
ResA_008,73.59491049907518,126.28858603314086,5611.898143128568,527.6779421631295,358.7473095889545,3507.5910541815797
ResA_008,83.25624084593031,135.77223206828748,5460.091943055856,535.7846109049768,363.0350720786381,3439.957380930594
ResA_008,59.69877775457988,117.09512098834196,5281.979364471501,474.76122472134284,338.37940530057045,3350.7508729260153
ResA_008,74.1174655538579,128.086773076852,5085.523163109729,471.5002737798457,310.2913109259466,3221.2241470445447
ResA_008,92.37738146650187,109.87424103880983,5142.798149266326,511.80670855133224,326.93163372578863,3215.499764831536
ResA_008,94.89953789465488,165.0261165497824,6226.9740368831035,568.8344828735925,376.6474775471409,3950.0066336149835
ResA_008,122.42269115114723,163.45290321240213,6038.055211579074,543.1619300594326,385.90542056214224,3910.6744285463537
ResA_008,108.69910233024527,155.23296709174517,5807.476558752356,515.7949010931029,376.38198050779107,3695.4995883153147
ResA_008,125.50539740807665,151.61184285794604,5993.052949094801,573.951950893492,392.04014092378156,3759.4818057294005
ResA_008,97.00499897791204,141.93724240385563,5693.708196445324,522.3689029465461,380.11362726811643,3578.166069435472
ResA_008,94.62928912684632,154.979570621272,5675.18931650246,524.1885381179757,349.5847398656909,3566.052359016068
ResA_008,86.5687009299343,133.89420944198704,5662.396694013916,517.5016426106627,342.61105669312366,3590.9736619800497
ResA_008,86.10977814127452,138.54407532321034,5586.105336425895,510.05567014428266,360.1920072521102,3523.690047464479
ResA_008,87.92043010297235,152.67018493858586,5644.131214563308,525.8063444962823,349.15793466879927,3545.906494282882
ResA_008,106.59553817404799,131.96993908781707,5745.435871608584,535.3486935427699,361.8065530951568,3619.00774809001
ResA_008,90.25512853755302,149.02335926381127,5860.941641225859,529.5759681517299,385.8910914806396,3658.264851396738
ResA_008,102.11984557972897,167.23772006121962,5908.558555962618,552.2349738645848,394.9189879651435,3692.48206060082
ResD_30s_OG,185.51851166392908,150.56712110439463,5242.691422432388,837.2161028624703,531.3576388653095,3224.4125525411014
ResD_30s_OG,158.3044375030873,150.7318376781086,4809.418605516425,778.5189426084971,493.55156485367365,2917.2526244001124
ResD_30s_OG,181.55443987089015,169.44353142811508,4739.490673688618,748.0890935895878,483.4765289241207,2926.5522881365837
ResD_30s_OG,160.66902858158372,138.8196551044274,4441.77817830238,703.4943233219515,429.0672571989747,2661.1516319950915
ResD_30s_OG,145.9285452476422,139.27185904538675,4416.184809290513,653.0360228895748,402.8562149726731,2639.975645725603
ResD_30s_OG,148.77685799996598,160.27045379729543,4288.54512438237,688.1959323717934,414.6851348354884,2592.0091949153903
ResD_30s_OG,135.33201775883796,136.51840480299882,4297.203079488554,590.4043917692725,390.15773378966696,2619.17546052265
ResD_30s_OG,129.71221330371208,173.44394021012732,3958.3874102566697,604.6418321609126,374.1101117711811,2399.0069981264483
ResD_30s_OG,207.0627465600161,157.63817329261798,4574.1519167363795,812.7157856424594,528.647220424157,2750.2014750401454
ResD_60s_009,288.43998178818,337.46329713979503,4914.4582572452355,1023.3567163486779,754.7855204597695,3070.3129125403348
ResD_60s_009,268.7931375255914,327.6043929467676,4667.9073068489615,939.286853402499,683.0134109941616,2847.77903118212
ResD_60s_009,280.5499154101554,309.1551056266795,4446.592091262857,968.6681726578383,707.9210509878262,2691.3512728996047
ResD_60s_009,250.53521174323024,289.9280650003888,4343.783429008319,1026.5018141147887,707.6566986177975,2582.170970615961
ResD_60s_009,266.3794591017954,326.9567344088564,4238.93418699639,1062.9739646333958,742.0159102958769,2569.0755863181084
ResD_60s_009,254.43081880238694,301.52578089914783,4111.182259916024,1128.7526153175297,755.1843909530998,2484.8348621865975
ResD_60s_009,229.5437540045242,294.2798137395286,3930.845367484115,1082.6745962999596,753.399532593947,2352.582106233319
ResD_60s_009,231.46141797658615,304.39232850953954,3824.4222921551827,983.1792666603611,660.9422975357268,2320.5001705730115
ResD_60s_009,249.34501430262657,309.25485039468015,5073.2626355320945,990.4750696526631,710.6726402092686,3070.665104177203
ResD_60s_009,239.95621895034347,315.3255852539338,4733.759763677625,901.4893591402506,646.1515184919917,2947.031303850879
ResD_60s_009,175.6357264626196,261.19151658177134,3880.6877308289468,749.4929585338816,545.758658948086,2373.1237770913403
ResD_60s_009,296.2666298955696,303.94864508620503,5186.004564789459,1014.585426473702,706.425397985322,3103.590215898356
ResD_60s_009,233.76476676606472,311.68841413409257,4816.844220754124,983.0578621761176,718.2966347355978,2944.805393486903
ResD_60s_009,239.83218572221077,306.14824492181117,4509.252266999831,1094.2837583433063,743.6744813613195,2733.426210374716
ResD_60s_009,232.33657914234485,349.51245864167646,4071.7914320331784,1082.3669659887348,721.5592673054225,2469.7942954617756
ResD_60s_009,211.02960451324648,319.6266242788681,3819.765146037546,977.2882179159836,677.4660212429485,2326.308505327599
ResD_60s_009,265.2827355564824,342.5026586234559,4215.200400571884,1119.589673793664,763.4566814175957,2536.612029773521
ResD_60s_009,276.70822327907626,350.905309864924,4550.064268004084,1207.6223174450895,809.5955129686138,2813.983236815022
ResD_60s_009,280.9834286354729,327.37213750966276,4665.658940081196,1048.3704846220298,738.7940825628002,2869.075398971336
ResD_60s_009,279.71095378775954,297.310170427334,4590.5365604187455,973.2303473369841,705.4272149602324,2789.27237835965
ResD_4min,861.2598111357172,641.1011880813611,6034.289451086194,3599.125286896049,2411.9673197729826,3563.741588821905
ResD_4min,847.1194792858405,721.8426736343986,6281.194654111921,3432.739360055038,2335.7134418405467,3582.4722094246936
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ResD_4min,887.3311255208627,680.2647058989919,6201.2209330514215,3573.938371222748,2425.484049100123,3559.8488305866167
ResD_4min,956.968339738129,695.5516392848083,6065.461583921184,4050.1744090503666,2731.8540394395677,3514.9097532073647
ResD_4min,963.0730571363877,692.2752043281299,5976.015080546015,4220.164662868375,2823.7285808459465,3469.0280114676693
ResD-1m-013,19349.149101732797,34618.41173496572,354086.3736982486,108948.10036566749,74806.35466576155,250187.21887124132
ResD-1m-013,18042.044154731317,34293.99207000028,364044.3133023619,103818.59083439442,71022.46246501448,256458.9494414106
ResD-1m-013,18017.915578205644,32940.187939867195,365121.7858076367,93794.2070823109,64200.832996299716,259897.3177472587
ResD-1m-013,17019.107587334936,31982.85510769283,369269.42111011996,88134.07320139339,60486.71646123692,262334.81329112157
ResD-1m-013,17325.168705506487,32263.46439133554,371753.54229579517,86421.08576206016,58823.404887127486,266585.541174331
ResD-1m-013,17732.86068434965,31542.161628317357,368140.8671830866,91915.78609211896,63199.003266822256,266665.6638532774
ResD-1m-013,18722.81272102816,32712.33417484476,366447.9440002583,95844.39453303209,66505.1582694011,258725.89066655873
ResD-1m-013,19514.511422014104,35089.427495305084,368570.4799424372,107259.80982437478,73251.17953685927,260430.13052129993
ResD-1m-013,19146.243285861343,33866.091057377365,348370.91154880874,106932.46017909744,75608.87676379347,243937.25122978288
ResD-1m-013,20065.809969438407,35019.27061499988,351000.8674241838,111006.23583266119,77847.73482689937,250224.08723393598
ResD-21m-014,26625.224684384553,38829.06369223615,142078.11056025975,355161.5431128653,248942.44456855446,103528.60407843525
ResD-21m-014,28858.975183954084,45015.07871784716,160717.26741946736,354296.3947733226,248534.57782931786,104651.59425921601
ResD-21m-014,28755.237449773485,45322.79013452767,162560.55744916174,308104.65507949784,213544.92714414673,95009.292070525
ResD-21m-014,30109.313431725404,50310.717086998746,181422.0761697194,295692.9128089547,203660.30922698407,106293.10089552682
ResD-21m-014,29453.413085689383,52505.180770989755,192116.23913166331,290254.63047663274,198452.15133491016,112056.07393688988
ResD-21m-014,27863.393337879126,47476.61504161949,173236.83925588528,299034.83390065597,205627.5203082711,106516.80684893383
ResD-21m-014,28524.30037042497,46116.22472527887,159783.22729222893,322449.58842740295,223823.82707649906,97948.93425081737
ResD-21m-014,28424.09115216826,42825.11269387834,150513.2216589633,352091.03953302215,245844.72318644688,105162.45315508862
ResD-21m-014,27397.37400780928,39707.73662231863,140712.99537938397,351114.835617533,244863.90786339194,106793.61442434535
ResD-21m-014,27313.2909006657,40531.83817392947,142454.80401645528,353442.3685166744,248756.6143590625,109374.99850305784
ResD_10m_023,19387.038012741443,45036.567840939235,275648.5333890946,195452.32857123946,131711.8492216658,179455.26111259987
ResD_10m_023,20645.665984531104,39305.197701788864,268058.8853160365,199142.64652720894,133238.9214493914,179992.2319693583
ResD_10m_023,21433.957558769645,40154.3426239992,254353.8828797287,220289.052858118,149260.17462183454,168300.80213387305
ResD_10m_023,20898.65718057915,38747.05202921991,246053.6729014434,236657.38025574695,160582.49301823866,162750.22458682238
ResD_10m_023,21170.77717123106,37946.67323159251,236790.93979590447,244517.40708327922,168887.78622362914,158712.53882977416
ResD_10m_023,20929.154694593333,38131.69502842051,240269.1195425649,223723.68021265182,151784.36603778516,158732.76073102065
ResD_10m_023,20967.071892363798,40380.25476427176,258975.19344065312,213822.8351428148,145344.62772362266,170734.9565413479
ResD_10m_023,20035.661493944535,43042.59702214708,279993.2731790261,197958.1808873948,134798.41460140113,183772.7589347675
ResD_10m_023,19634.221257114335,41340.745061124726,285498.0923775458,190927.53118683308,129345.90143755171,189827.4588457583
ResD_10m_023,20270.90005002341,40951.07371743234,288905.62971190084,189227.69001131275,127210.97476534269,192609.5996913197
ResD_1m_016,14036.88969664474,31392.233362181887,376480.3638799574,68071.58385164347,47349.892214385574,273176.27081814705
ResD_1m_016,13118.602615658227,30031.459491874914,352832.7873028253,62909.39666096706,42808.05023564218,253482.043861194
ResD_1m_016,15183.87114274322,30779.072197673064,363949.64564933185,65501.92160429861,45648.33029659484,261018.77216719114
ResD_1m_016,14172.88675553685,30322.453464126655,361452.168022503,66858.57367060406,45365.49654210308,260825.73743590998
ResD_1m_016,14160.625388059956,30501.86759956386,366374.3736278041,65845.22008567967,45584.740232906435,263652.64049089956
ResD_1m_016,14780.227857669193,30362.093996150197,359530.18108202284,64586.846711012935,44274.66990522221,257922.59286885115
ResD_1m_016,13710.963549962153,31404.614753927086,366291.68552579475,64474.97511571328,44571.67483631625,263908.89147164696
ResD_1m_016,15676.037300793589,31344.07304566933,375475.753422439,64085.11705658265,44545.70246189352,272600.70649047475
ResD_1m_016,14806.298992586786,31797.451192916436,372410.7716253311,63865.96200944284,44483.95792528485,267844.5507843373
ResD_1m_016,14743.670045391787,33246.317584945115,377471.8879623934,65238.44859958655,44897.8950407705,271672.873373106
ResD_40m_017,31480.68042468921,51219.783385292314,257695.31544512947,226338.3233369397,156307.6833342596,157742.75244145474
ResD_40m_017,31885.80807206298,53772.91307351318,274522.90119342913,210092.54327180856,145037.43431461276,167875.71248848666
ResD_40m_017,28595.623119576085,57453.63085357669,287960.18873252004,184485.1093965502,127049.99347296965,171970.79400550685
ResD_40m_017,26983.712643424697,58830.73887619217,297240.2975648969,175622.48294768005,119878.233106623,178271.53440406057
ResD_40m_017,27134.83944277728,56551.24552816915,295653.270111626,162914.55940158322,112546.29425744215,181956.10912367154
ResD_40m_017,28550.449652275933,57528.35871225548,292757.4163902896,175755.69907582615,119721.10959816941,178371.99433187564
ResD_40m_017,29198.914756833892,55336.23474224259,284183.4180791608,187664.53458186862,128785.39393232888,171928.67720639473
ResD_40m_017,33573.86907010262,52983.92224822868,275149.77033428865,213681.4820322741,150343.9846497216,164585.474868695
ResD_40m_017,33302.50460953366,51802.38974350493,267040.712440077,217427.12577311666,151658.38996861049,163379.16945371786
ResD_40m_017,32031.99765089426,53118.566173460116,273079.48352955305,216684.40630435914,148960.15125779752,165978.2081951791
ResD_5m_018,15740.014886411745,35105.46618606947,349525.540159531,74252.33705369312,52138.49134160524,249174.00671884423
ResD_5m_018,15648.734910334028,35366.38709261686,342924.57822040655,72655.05935736115,49618.26236032805,244494.4187386916
ResD_5m_018,15202.128527513903,35908.25355170857,347757.26915108494,71133.85407596044,48822.029854017084,243843.7093451044
ResD_5m_018,15534.001297723422,36330.15601661737,347995.55957143346,70108.09619177571,48340.82038118745,247233.6981010538
ResD_5m_018,15706.74525475102,37255.4065471431,353057.785457126,72335.80899111113,49271.204882369726,252404.95510821487
ResD_5m_018,14248.43457908942,35587.46504567223,348542.2899859125,69406.54468875127,48108.99124765128,245918.6396700507
ResD_5m_018,16666.189734226842,35237.503453411366,347611.53916228196,69943.36773970131,48718.84914074575,245362.12278428275
ResD_5m_018,15179.859718716936,35492.97151955732,347484.9600050556,73789.86122345558,50929.402774814436,244751.53597082867
ResD_5m_018,14819.920316822,35678.77724086621,349700.0916053167,73085.20155213312,48941.337768429534,243811.53573827416
ResD_5m_018,14986.685474838168,36046.55276412405,351215.16090575786,72170.33702216067,50267.857239165605,248308.3293307196
ResD_15m_024_af,19364.546005651297,44028.651910055225,236483.56219658774,222508.77410095287,150991.45536323168,152276.3439154647
ResD_15m_024_af,18468.62045334907,44449.440331939535,233177.5063078767,224014.61433415566,153537.0920996601,152733.13809130475
ResD_15m_024_af,20267.45820032927,43948.059347431736,226359.25575548442,231347.0686991306,157461.56570606213,148232.55756969572
ResD_15m_024_af,21501.55585722846,42749.134799346946,222308.60684754993,242999.5886128276,167043.89695099465,143998.36200703811
ResD_15m_024_af,21450.3568523039,41356.46585867736,215199.30071482007,254493.0718363936,172760.78246830933,140457.1819584547
ResD_15m_024_af,20018.316089887023,40124.54068968996,211009.6334119238,235814.68071340094,161879.9687164151,139035.33041489345
ResD_15m_024_af,19052.96841153703,42443.53461074768,215063.03187307506,231322.50888484324,157601.3089303122,141903.26102923474
ResD_15m_024_af,19548.842371153176,43679.56382189675,230081.73269115863,235817.2397706626,161492.28518355108,151506.05690305313
ResD_15m_024_af,21640.949257717424,44065.513878865924,224443.76908982266,247627.04901002283,169375.90969499722,145155.4831913367
ResD_15m_024_af,21600.076530459144,42222.50367436065,215498.15622214365,260493.51240792076,179227.12161965077,143166.54304143507
ResD_20m_028,13579.483907733003,32539.987596669205,184590.31481853794,304210.10435056046,222306.0328717958,134003.82228057476
ResD_20m_028,14280.774019104214,31315.970025702634,190482.0588932843,302161.8139088284,220690.81631112893,134029.08853392594
ResD_20m_028,13143.711070251473,30998.211979937907,182443.92978571833,296388.8787230302,217325.52963391138,130029.38595370064
ResD_20m_028,14307.765986321108,31371.68954103764,181057.53061530172,304923.0592564383,221179.20821936318,131420.65705713275
ResD_20m_028,14380.09190529721,31885.18493418835,181019.49988210964,309654.6934569617,226215.6556996104,129693.19054094222
ResD_20m_028,13862.763219574248,32287.435098810045,187443.61546217557,302552.4155449658,221131.00562172584,132584.81240564922
ResD_20m_028,14023.96065486311,32495.58565682209,185070.04844056984,298843.89647487266,219296.50526623955,132917.15219848842
ResD_20m_028,15865.277042503845,32381.1097548421,192871.73680350545,308773.3625526559,225929.61331735083,140152.47625123922
ResD_20m_028,16610.475338352247,33588.44865802846,189408.50042006464,302902.6132314113,219115.92148619212,134494.7049994763
ResD_20m_028,16643.834216623076,33413.7865735662,192622.07377578222,305939.57992778625,221210.5103650074,137224.51920846838
